Datetime,Sample,Time_Step,MSLP,Latitude,Longitude
2023-07-13 12:00:00,23,8,99096.9765625,21.5,112.0
2023-07-13 12:00:00,23,9,99881.4609375,20.5,110.5
2023-07-13 12:00:00,23,10,100160.8125,19.75,109.0
2023-07-13 12:00:00,24,0,100137.9296875,18.75,121.5
2023-07-13 12:00:00,24,1,99922.6328125,17.25,120.0
2023-07-13 12:00:00,24,2,99292.828125,18.0,118.5
2023-07-13 12:00:00,24,3,99126.3203125,18.75,117.75
2023-07-13 12:00:00,24,4,98975.7578125,19.75,116.75
2023-07-13 12:00:00,24,5,98759.59375,20.0,115.25
2023-07-13 12:00:00,24,6,98040.8203125,20.25,113.75
2023-07-13 12:00:00,24,7,98248.484375,20.75,112.25
2023-07-13 12:00:00,24,8,99003.9375,22.0,110.75
2023-07-13 12:00:00,24,9,99857.1484375,23.5,109.25
2023-07-13 12:00:00,24,10,100453.953125,22.5,107.75
2023-07-13 12:00:00,25,0,100178.34375,18.0,120.25
2023-07-13 12:00:00,25,1,99793.3125,17.75,118.75
2023-07-13 12:00:00,25,2,99242.0390625,17.5,117.75
2023-07-13 12:00:00,25,3,98919.8671875,17.75,117.0
2023-07-13 12:00:00,25,4,98567.9765625,18.25,116.5
2023-07-13 12:00:00,25,5,98425.9453125,19.0,115.5
2023-07-13 12:00:00,25,6,98445.9609375,19.5,114.0
2023-07-13 12:00:00,25,7,98977.3828125,20.0,112.5
2023-07-13 12:00:00,25,8,99723.1875,21.25,111.0
2023-07-13 12:00:00,25,9,100208.796875,20.0,110.0
2023-07-13 12:00:00,26,0,100173.09375,18.5,122.25
2023-07-13 12:00:00,26,1,100106.046875,18.5,121.75
2023-07-13 12:00:00,26,2,99842.4921875,18.25,120.25
2023-07-13 12:00:00,26,3,99592.640625,19.0,118.75
2023-07-13 12:00:00,26,4,99299.1875,18.75,117.25
2023-07-13 12:00:00,26,5,98844.25,19.0,115.75
2023-07-13 12:00:00,26,6,98574.734375,19.75,114.25
2023-07-13 12:00:00,26,7,98123.0,20.5,112.75
2023-07-13 12:00:00,26,8,98762.3046875,21.25,111.25
2023-07-13 12:00:00,26,9,99533.3828125,21.5,109.75
2023-07-13 12:00:00,26,10,99956.0390625,21.0,108.25
2023-07-13 12:00:00,26,11,100182.3125,19.5,107.0
2023-07-13 12:00:00,27,0,100192.25,18.25,122.5
2023-07-13 12:00:00,27,1,100026.296875,19.0,121.0
2023-07-13 12:00:00,27,2,99659.9296875,17.75,119.5
2023-07-13 12:00:00,27,3,99090.765625,18.5,118.0
2023-07-13 12:00:00,27,4,98428.15625,18.75,116.75
2023-07-13 12:00:00,27,5,98497.9765625,19.0,115.25
2023-07-13 12:00:00,27,6,98222.546875,19.75,113.75
2023-07-13 12:00:00,27,7,98536.859375,20.0,112.25
2023-07-13 12:00:00,27,8,99148.34375,20.25,110.75
2023-07-13 12:00:00,27,9,99632.640625,20.0,109.25
2023-07-13 12:00:00,27,10,100170.0703125,19.75,107.75
2023-07-13 12:00:00,28,0,100132.703125,18.5,121.75
2023-07-13 12:00:00,28,1,99968.6171875,17.5,120.25
2023-07-13 12:00:00,28,2,99478.96875,17.25,118.75
2023-07-13 12:00:00,28,3,98905.1328125,18.25,117.5
2023-07-13 12:00:00,28,4,98809.2734375,19.0,116.0
2023-07-13 12:00:00,28,5,98692.359375,19.5,114.5
2023-07-13 12:00:00,28,6,99141.9140625,20.0,113.0
2023-07-13 12:00:00,28,7,99375.4140625,19.0,111.5
2023-07-13 12:00:00,28,8,99616.1875,20.0,110.0
2023-07-13 12:00:00,28,9,99849.671875,20.0,108.5
2023-07-13 12:00:00,28,10,100004.71875,19.75,107.0
2023-07-13 12:00:00,29,0,100244.9140625,18.5,122.0
2023-07-13 12:00:00,29,1,100119.7890625,18.75,120.5
2023-07-13 12:00:00,29,2,99659.515625,18.0,119.0
2023-07-13 12:00:00,29,3,99369.296875,18.5,118.0
2023-07-13 12:00:00,29,4,98607.8359375,19.25,116.75
2023-07-13 12:00:00,29,5,98038.765625,19.5,115.25
2023-07-13 12:00:00,29,6,98341.859375,20.25,113.75
2023-07-13 12:00:00,29,7,98844.375,21.0,112.25
2023-07-13 12:00:00,29,8,99612.703125,21.5,110.75
2023-07-13 12:00:00,29,9,99951.484375,22.0,109.25
2023-07-13 12:00:00,29,10,100282.921875,20.5,109.0
2023-07-13 12:00:00,30,0,100141.6328125,18.5,121.75
2023-07-13 12:00:00,30,1,99908.4296875,18.5,121.75
2023-07-13 12:00:00,30,2,99751.5546875,18.25,120.25
2023-07-13 12:00:00,30,3,99490.359375,19.0,118.75
2023-07-13 12:00:00,30,4,99620.6328125,19.25,117.25
2023-07-13 12:00:00,30,5,99686.4140625,19.75,115.75
2023-07-13 12:00:00,30,6,99614.2265625,19.25,114.25
